TicketID,CreatedAt,ClosedAt,Priority,Type,Status,Region,Channel,SLA_Target_Hours,Resolution_Hours,SLA_Met
118,2025-07-13,2025-07-17 04:00:00,High,Incident,Resolved,Orinoquía,Partners,24,100.0,0
119,2025-05-15,2025-05-17 14:00:00,Medium,Request,Closed,Andina,Retail,48,62.0,0
120,2025-01-31,2025-02-07 13:00:00,Medium,Request,Resolved,Amazonía,Retail,48,181.0,0
121,2024-02-13,2024-02-19 13:00:00,High,Incident,In Progress,Orinoquía,Retail,24,157.0,0
122,2024-12-07,2024-12-11 14:00:00,Medium,Change,Closed,Orinoquía,Retail,48,110.0,0
123,2024-08-30,2024-08-31 19:00:00,Medium,Incident,Resolved,Andina,Partners,48,43.0,1
124,2024-08-02,2024-08-06 15:00:00,Low,Incident,Closed,Amazonía,Retail,72,111.0,0
125,2025-06-16,2025-06-21 01:00:00,Medium,Request,Resolved,Andina,Partners,48,121.0,0
126,2024-08-18,2024-08-18 23:00:00,Low,Incident,In Progress,Orinoquía,Partners,72,23.0,1
127,2024-06-29,2024-06-30 01:00:00,Low,Incident,Resolved,Caribe,Partners,72,25.0,1
128,2025-07-21,2025-07-29 06:00:00,Low,Request,Resolved,Andina,Partners,72,198.0,0
129,2025-06-01,2025-06-03 05:00:00,Low,Incident,Closed,Orinoquía,Ecommerce,72,53.0,1
130,2024-03-01,2024-03-03 20:00:00,High,Change,Closed,Amazonía,Ecommerce,24,68.0,0
131,2024-09-26,2024-09-30 22:00:00,Medium,Incident,Closed,Andina,Ecommerce,48,118.0,0
132,2025-03-18,2025-03-18 23:00:00,Medium,Incident,Closed,Amazonía,Retail,48,23.0,1
133,2024-01-03,2024-01-10 04:00:00,Low,Incident,Resolved,Andina,Partners,72,172.0,0
134,2025-09-22,2025-09-28 01:00:00,Medium,Incident,Closed,Caribe,Partners,48,145.0,0
135,2024-09-20,2024-09-24 23:00:00,Low,Incident,Resolved,Caribe,Retail,72,119.0,0
136,2024-07-08,2024-07-09 08:00:00,Medium,Request,Closed,Amazonía,Partners,48,32.0,1
137,2024-10-17,2024-10-23 16:00:00,Critical,Incident,Open,Andina,Ecommerce,24,160.0,0
138,2024-06-02,2024-06-02 11:00:00,Low,Request,In Progress,Caribe,Partners,72,11.0,1
139,2024-12-22,2024-12-22 10:00:00,Low,Request,Resolved,Andina,Retail,72,10.0,1
140,2025-05-21,2025-05-28 20:00:00,Medium,Incident,In Progress,Andina,Ecommerce,48,188.0,0
141,2025-03-29,2025-04-05 05:00:00,Critical,Incident,Closed,Pacífico,Retail,24,173.0,0
142,2024-01-20,2024-01-24 17:00:00,High,Incident,Closed,Amazonía,Partners,24,113.0,0
143,2024-07-21,2024-07-24 05:00:00,Medium,Change,Resolved,Andina,Partners,48,77.0,0
144,2025-06-20,2025-06-22 17:00:00,Low,Incident,Closed,Caribe,Retail,72,65.0,1
145,2025-07-02,2025-07-06 13:00:00,High,Request,Closed,Amazonía,Ecommerce,24,109.0,0
146,2025-01-24,2025-01-29 08:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,128.0,0
147,2024-08-12,2024-08-16 23:00:00,Medium,Change,Resolved,Andina,Ecommerce,48,119.0,0
148,2025-03-08,2025-03-08 18:00:00,Low,Request,Closed,Pacífico,Partners,72,18.0,1
149,2024-02-19,2024-02-26 18:00:00,Critical,Change,Resolved,Pacífico,Ecommerce,24,186.0,0
150,2025-02-12,2025-02-19 16:00:00,High,Incident,Open,Andina,Retail,24,184.0,0
151,2024-08-04,2024-08-11 15:00:00,High,Incident,Resolved,Orinoquía,Ecommerce,24,183.0,0
152,2024-09-11,2024-09-16 04:00:00,Medium,Change,Open,Caribe,Ecommerce,48,124.0,0
153,2025-06-13,2025-06-16 23:00:00,Medium,Incident,Resolved,Pacífico,Ecommerce,48,95.0,0
154,2025-01-11,2025-01-13 11:00:00,Medium,Request,Closed,Amazonía,Ecommerce,48,59.0,0
155,2024-01-07,2024-01-12 23:00:00,High,Incident,Open,Amazonía,Retail,24,143.0,0
156,2024-10-22,2024-10-27 21:00:00,High,Request,Resolved,Orinoquía,Retail,24,141.0,0
157,2025-03-12,2025-03-13 08:00:00,Low,Incident,Resolved,Amazonía,Ecommerce,72,32.0,1
158,2024-09-19,2024-09-21 01:00:00,High,Incident,Resolved,Andina,Retail,24,49.0,0
159,2024-12-28,2024-12-30 23:00:00,Medium,Incident,Resolved,Pacífico,Partners,48,71.0,0
160,2024-10-10,2024-10-16 09:00:00,High,Request,Resolved,Andina,Retail,24,153.0,0
161,2024-12-25,2024-12-29 22:00:00,Medium,Request,Resolved,Pacífico,Ecommerce,48,118.0,0
162,2024-10-14,2024-10-14 16:00:00,Low,Request,Closed,Andina,Retail,72,16.0,1
163,2025-05-13,2025-05-17 13:00:00,Low,Incident,Resolved,Andina,Ecommerce,72,109.0,0
164,2024-10-03,2024-10-04 16:00:00,Low,Change,Resolved,Andina,Retail,72,40.0,1
165,2025-03-17,2025-03-21 09:00:00,Low,Request,Closed,Orinoquía,Retail,72,105.0,0
166,2025-07-17,2025-07-20 21:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,93.0,0
167,2024-12-23,2024-12-26 08:00:00,Medium,Change,Closed,Amazonía,Retail,48,80.0,0
168,2025-01-13,2025-01-18 07:00:00,High,Request,Open,Orinoquía,Ecommerce,24,127.0,0
169,2024-07-29,2024-08-01 22:00:00,High,Request,Open,Orinoquía,Partners,24,94.0,0
170,2025-03-21,2025-03-21 07:00:00,Low,Request,Resolved,Amazonía,Retail,72,7.0,1
171,2024-07-05,2024-07-09 14:00:00,High,Request,In Progress,Orinoquía,Ecommerce,24,110.0,0
172,2025-01-09,2025-01-11 19:00:00,Medium,Incident,In Progress,Caribe,Partners,48,67.0,0
173,2024-03-24,2024-03-31 07:00:00,Low,Request,Closed,Orinoquía,Retail,72,175.0,0
174,2024-07-29,2024-08-04 10:00:00,Low,Incident,Closed,Andina,Ecommerce,72,154.0,0
175,2025-07-26,2025-07-26 11:00:00,Medium,Request,Closed,Caribe,Retail,48,11.0,1
176,2025-08-06,2025-08-11 13:00:00,Medium,Incident,Closed,Amazonía,Partners,48,133.0,0
177,2024-12-29,2025-01-01 23:00:00,Low,Request,Closed,Pacífico,Retail,72,95.0,0
178,2024-09-17,2024-09-23 19:00:00,Low,Incident,Closed,Orinoquía,Partners,72,163.0,0
179,2024-01-26,2024-02-03 01:00:00,Low,Request,Closed,Amazonía,Ecommerce,72,193.0,0
180,2025-02-15,2025-02-19 19:00:00,Medium,Incident,In Progress,Amazonía,Partners,48,115.0,0
181,2025-07-29,2025-08-04 04:00:00,High,Incident,Resolved,Amazonía,Ecommerce,24,148.0,0
182,2024-06-09,2024-06-16 21:00:00,Low,Request,Resolved,Pacífico,Partners,72,189.0,0
183,2024-03-16,2024-03-17 02:00:00,Low,Request,Closed,Pacífico,Partners,72,26.0,1
184,2025-01-23,2025-01-23 13:00:00,Medium,Incident,Open,Andina,Retail,48,13.0,1
185,2024-05-14,2024-05-16 16:00:00,Medium,Request,In Progress,Pacífico,Retail,48,64.0,0
186,2024-05-18,2024-05-22 05:00:00,Medium,Request,Resolved,Pacífico,Retail,48,101.0,0
187,2024-02-08,2024-02-14 08:00:00,Medium,Request,Closed,Orinoquía,Retail,48,152.0,0
188,2024-11-02,2024-11-06 19:00:00,Medium,Incident,Closed,Caribe,Ecommerce,48,115.0,0
189,2025-08-19,2025-08-20 14:00:00,Low,Incident,Closed,Pacífico,Retail,72,38.0,1
190,2024-03-19,2024-03-23 09:00:00,Critical,Incident,In Progress,Amazonía,Ecommerce,24,105.0,0
191,2024-02-19,2024-02-20 20:00:00,Medium,Incident,Closed,Pacífico,Retail,48,44.0,1
192,2024-01-26,2024-01-30 09:00:00,Low,Request,Closed,Andina,Partners,72,105.0,0
193,2025-07-04,2025-07-10 13:00:00,Low,Incident,Closed,Andina,Partners,72,157.0,0
194,2024-02-04,2024-02-09 16:00:00,High,Incident,Closed,Orinoquía,Retail,24,136.0,0
195,2024-01-19,2024-01-19 03:00:00,Critical,Request,Resolved,Pacífico,Ecommerce,24,3.0,1
196,2025-03-02,2025-03-02 05:00:00,Medium,Change,Closed,Pacífico,Retail,48,5.0,1
197,2024-05-13,2024-05-13 14:00:00,High,Request,Closed,Orinoquía,Retail,24,14.0,1
198,2024-06-10,2024-06-12 07:00:00,Low,Request,Resolved,Andina,Retail,72,55.0,1
199,2024-03-28,2024-03-28 20:00:00,Low,Incident,Resolved,Pacífico,Ecommerce,72,20.0,1
200,2025-01-02,2025-01-08 15:00:00,Low,Incident,Closed,Andina,Ecommerce,72,159.0,0
201,2025-09-07,2025-09-13 20:00:00,High,Request,Closed,Pacífico,Retail,24,164.0,0
202,2025-06-05,2025-06-08 07:00:00,High,Request,Resolved,Orinoquía,Partners,24,79.0,0
203,2025-06-08,2025-06-12 07:00:00,Low,Request,Resolved,Orinoquía,Partners,72,103.0,0
204,2024-07-28,2024-07-28 08:00:00,Low,Request,Resolved,Pacífico,Ecommerce,72,8.0,1
205,2024-06-03,2024-06-09 04:00:00,Low,Request,Closed,Andina,Ecommerce,72,148.0,0
206,2024-03-14,2024-03-20 12:00:00,Low,Incident,Resolved,Caribe,Partners,72,156.0,0
207,2024-09-12,2024-09-17 04:00:00,Medium,Request,Closed,Pacífico,Partners,48,124.0,0
208,2025-08-27,2025-08-28 08:00:00,Low,Request,Closed,Andina,Partners,72,32.0,1
209,2024-11-10,2024-11-15 03:00:00,High,Incident,Open,Caribe,Ecommerce,24,123.0,0
210,2024-11-28,2024-11-28 15:00:00,Medium,Incident,Open,Andina,Partners,48,15.0,1
211,2025-06-14,2025-06-22 07:00:00,High,Request,Closed,Orinoquía,Retail,24,199.0,0
212,2024-07-06,2024-07-12 23:00:00,Low,Incident,In Progress,Caribe,Ecommerce,72,167.0,0
213,2024-11-10,2024-11-17 23:00:00,Medium,Request,Closed,Amazonía,Retail,48,191.0,0
214,2024-01-30,2024-02-06 12:00:00,Medium,Request,Resolved,Andina,Retail,48,180.0,0
215,2024-03-25,2024-03-25 13:00:00,Low,Incident,Resolved,Amazonía,Retail,72,13.0,1
216,2024-03-01,2024-03-01 18:00:00,Low,Incident,Closed,Orinoquía,Retail,72,18.0,1
217,2024-01-11,2024-01-15 07:00:00,Low,Request,Resolved,Orinoquía,Partners,72,103.0,0
218,2024-10-23,2024-10-26 05:00:00,Low,Incident,Resolved,Caribe,Ecommerce,72,77.0,0
219,2024-12-09,2024-12-11 17:00:00,Low,Request,Closed,Pacífico,Retail,72,65.0,1
220,2025-05-06,2025-05-12 22:00:00,Medium,Incident,Closed,Pacífico,Ecommerce,48,166.0,0
221,2025-06-13,2025-06-20 06:00:00,Medium,Request,Closed,Amazonía,Ecommerce,48,174.0,0
222,2024-09-15,2024-09-16 13:00:00,Low,Request,Resolved,Caribe,Retail,72,37.0,1
223,2024-05-27,2024-06-03 19:00:00,High,Change,In Progress,Orinoquía,Ecommerce,24,187.0,0
224,2025-09-24,2025-09-29 23:00:00,Critical,Incident,Closed,Amazonía,Ecommerce,24,143.0,0
225,2024-04-26,2024-04-28 15:00:00,High,Incident,Resolved,Caribe,Partners,24,63.0,0
226,2024-11-23,2024-12-01 06:00:00,High,Request,Resolved,Andina,Partners,24,198.0,0
227,2024-04-15,2024-04-21 11:00:00,High,Request,Resolved,Orinoquía,Ecommerce,24,155.0,0
228,2025-02-07,2025-02-08 22:00:00,High,Incident,Resolved,Pacífico,Partners,24,46.0,0
229,2024-03-26,2024-03-29 12:00:00,Medium,Incident,Open,Orinoquía,Partners,48,84.0,0
230,2025-06-15,2025-06-18 00:00:00,Low,Incident,Open,Amazonía,Partners,72,72.0,1
231,2025-08-17,2025-08-24 04:00:00,Low,Request,Resolved,Amazonía,Partners,72,172.0,0
232,2025-09-08,2025-09-13 11:00:00,Medium,Request,Resolved,Pacífico,Retail,48,131.0,0
233,2025-09-07,2025-09-07 17:00:00,Low,Request,Resolved,Andina,Ecommerce,72,17.0,1
234,2024-06-23,2024-06-24 10:00:00,Medium,Request,Resolved,Orinoquía,Retail,48,34.0,1
235,2024-03-02,2024-03-05 13:00:00,Low,Request,Resolved,Andina,Ecommerce,72,85.0,0
236,2025-03-15,2025-03-19 14:00:00,Low,Incident,Resolved,Andina,Retail,72,110.0,0
237,2025-02-20,2025-02-26 09:00:00,High,Request,Resolved,Andina,Ecommerce,24,153.0,0
238,2025-07-28,2025-07-29 09:00:00,Low,Incident,Resolved,Caribe,Ecommerce,72,33.0,1
239,2024-03-25,2024-03-30 12:00:00,Low,Incident,Closed,Orinoquía,Retail,72,132.0,0
240,2024-03-23,2024-03-27 09:00:00,Medium,Request,Resolved,Amazonía,Partners,48,105.0,0
241,2024-11-20,2024-11-20 12:00:00,Low,Request,Closed,Orinoquía,Ecommerce,72,12.0,1
242,2024-02-11,2024-02-16 09:00:00,Critical,Request,Resolved,Amazonía,Ecommerce,24,129.0,0
243,2024-01-09,2024-01-14 11:00:00,Low,Incident,Closed,Amazonía,Retail,72,131.0,0
244,2025-09-28,2025-10-02 20:00:00,Low,Change,Resolved,Pacífico,Partners,72,116.0,0
245,2025-02-04,2025-02-10 08:00:00,High,Request,Resolved,Caribe,Ecommerce,24,152.0,0
246,2025-04-25,2025-04-25 09:00:00,High,Incident,Resolved,Amazonía,Ecommerce,24,9.0,1
247,2024-06-17,2024-06-20 19:00:00,Low,Incident,Resolved,Caribe,Partners,72,91.0,0
248,2024-09-08,2024-09-11 07:00:00,Low,Incident,Resolved,Amazonía,Ecommerce,72,79.0,0
249,2024-02-09,2024-02-12 06:00:00,Medium,Request,Open,Caribe,Partners,48,78.0,0
250,2025-06-02,2025-06-10 06:00:00,Medium,Incident,Resolved,Caribe,Partners,48,198.0,0
251,2025-05-28,2025-05-29 00:00:00,High,Change,In Progress,Amazonía,Ecommerce,24,24.0,1
252,2025-09-10,2025-09-16 10:00:00,Low,Request,Open,Pacífico,Ecommerce,72,154.0,0
253,2025-07-14,2025-07-18 05:00:00,Low,Request,Resolved,Pacífico,Ecommerce,72,101.0,0
254,2024-12-14,2024-12-19 08:00:00,Medium,Incident,Closed,Caribe,Retail,48,128.0,0
255,2025-09-09,2025-09-13 20:00:00,Medium,Incident,Resolved,Orinoquía,Ecommerce,48,116.0,0
256,2024-03-21,2024-03-21 19:00:00,Low,Incident,Resolved,Andina,Partners,72,19.0,1
257,2025-04-12,2025-04-18 06:00:00,Low,Request,Resolved,Pacífico,Retail,72,150.0,0
258,2024-08-05,2024-08-10 18:00:00,Medium,Incident,Closed,Amazonía,Retail,48,138.0,0
259,2024-01-29,2024-01-29 13:00:00,Low,Incident,Resolved,Orinoquía,Partners,72,13.0,1
260,2024-07-30,2024-08-05 20:00:00,Low,Request,Closed,Pacífico,Retail,72,164.0,0
261,2025-07-21,2025-07-22 18:00:00,Medium,Incident,Closed,Caribe,Partners,48,42.0,1
262,2024-05-01,2024-05-01 08:00:00,High,Incident,In Progress,Orinoquía,Partners,24,8.0,1
263,2024-06-09,2024-06-15 01:00:00,High,Request,Resolved,Pacífico,Retail,24,145.0,0
264,2024-10-30,2024-11-05 01:00:00,Medium,Incident,In Progress,Orinoquía,Partners,48,145.0,0
265,2025-02-08,2025-02-09 08:00:00,Medium,Request,Closed,Amazonía,Ecommerce,48,32.0,1
266,2024-09-30,2024-10-04 14:00:00,Medium,Incident,Resolved,Caribe,Ecommerce,48,110.0,0
267,2024-12-29,2024-12-30 00:00:00,Low,Request,Closed,Caribe,Retail,72,24.0,1
